id,category,question,answer,difficulty,source
38,Traditions,"Who primarily wrote the Twelve Traditions?","Bill Wilson, based on the collective experience of early groups",medium,"AA Traditions"
39,Traditions,"What does Tradition Eleven say about public relations?","Based on attraction rather than promotion; maintain anonymity at the level of press, radio, and films",medium,"AA Traditions"
40,Traditions,"What does Tradition Five describe?","Each group has but one primary purpose — to carry its message to the alcoholic who still suffers",medium,"AA Traditions"
41,Traditions,"What does Tradition Ten say?","AA has no opinion on outside issues; the AA name ought never be drawn into public controversy",medium,"AA Traditions"
42,Traditions,"What does Tradition Two say about authority?","For our group purpose there is but one ultimate authority — a loving God as expressed in our group conscience",medium,"AA Traditions"
43,History,"What was the Oxford Group?","A Christian fellowship that influenced AA's early development — both Bill W. and Dr. Bob were members",medium,"AA History"
44,History,"When and where were the first AA groups?","Akron, Ohio and New York City in 1935",easy,"AA History"
45,History,"What was the Saturday Evening Post article?","Jack Alexander's 1941 article that brought national attention — membership surged from 2,000 to 8,000",hard,"AA History"
46,History,"What is the Lasker Award?","AA received it in 1951 from the American Public Health Association for its contribution to alcoholism therapy",hard,"AA History"
47,History,"Who was Ebby Thacher?","Bill W.'s childhood friend who carried the message to Bill in November 1934 — Bill's sponsor",medium,"AA History"
48,History,"What was the Akron group called before AA?","The 'alcoholic squad' of the Oxford Group",hard,"AA History"
49,History,"When did AA separate from the Oxford Group?","New York in 1937; Akron in 1939",hard,"AA History"
50,History,"Who was Sister Ignatia?","Sister Ignatia Gavin worked with Dr. Bob at St. Thomas Hospital, admitting thousands of alcoholics",hard,"AA History"
51,History,"Who was AA Number Three?","Bill Dotson — the first person Bill W. and Dr. Bob worked with who achieved lasting sobriety",hard,"AA History"
52,History,"What was the Mayflower Hotel's significance?","Bill W. was in its lobby in Akron on Mother's Day 1935, felt the urge to drink, and instead sought another alcoholic — leading to meeting Dr. Bob",hard,"AA History"
53,History,"What happened December 11, 1934?","Bill Wilson had his spiritual experience at Towns Hospital, crying 'If there is a God, let Him show Himself!'",hard,"AA History"
54,History,"Who was Dr. William Silkworth?","Known as 'the little doctor who loved drunks' — he treated Bill W. at Towns Hospital and provided the medical perspective for AA",medium,"AA History"
55,History,"What was Stepping Stones?","The home of Bill and Lois Wilson in Bedford Hills (Katonah), NY — now a historic site",medium,"AA History"
56,History,"Where is Dr. Bob's House?","855 Ardmore Avenue in Akron, Ohio — now a museum and historic site",medium,"AA History"
57,History,"What was the first AA meeting outside the US?","A group started in London, England in 1947",hard,"AA History"
58,History,"What happened at the Commodore Hotel in 1939?","The Big Book was first offered for sale, and early AA members discussed how to spread the message",hard,"AA History"
59,History,"Who was Clarence Snyder?","Founded the first group in Cleveland, Ohio in 1939 — the third AA group. Helped AA grow rapidly",hard,"AA History"
60,History,"What was Rockefeller's role in AA?","John D. Rockefeller Jr. supported AA modestly but wisely refused to give large sums, saying 'Money will spoil this thing'",hard,"AA History"
61,Steps,"How many Steps does the AA program have?","Twelve Steps",easy,"AA Program"
62,Steps,"What is the First Step?","We admitted we were powerless over alcohol — that our lives had become unmanageable",easy,"AA Program"
63,Steps,"Which Step involves a moral inventory?","Step Four: Made a searching and fearless moral inventory of ourselves",medium,"AA Program"
64,Steps,"Which Step involves making amends?","Step Nine: Made direct amends wherever possible, except when to do so would injure them or others",medium,"AA Program"
65,Steps,"What is the Twelfth Step about?","Having had a spiritual awakening, we tried to carry this message to alcoholics and practice these principles in all our affairs",medium,"AA Program"
66,Steps,"What does Step Two say?","Came to believe that a Power greater than ourselves could restore us to sanity",easy,"AA Program"
67,Steps,"What does Step Three involve?","Made a decision to turn our will and our lives over to the care of God as we understood Him",easy,"AA Program"
68,Steps,"What does Step Five require?","Admitted to God, to ourselves, and to another human being the exact nature of our wrongs",medium,"AA Program"
69,Steps,"What are Steps Six and Seven about?","Being ready to have God remove our defects of character, and humbly asking Him to remove our shortcomings",medium,"AA Program"
70,Steps,"What does Step Eight involve?","Made a list of all persons we had harmed, and became willing to make amends to them all",easy,"AA Program"
71,Steps,"What does Step Ten say?","Continued to take personal inventory and when we were wrong promptly admitted it",easy,"AA Program"
72,Steps,"What does Step Eleven involve?","Sought through prayer and meditation to improve our conscious contact with God as we understood Him",medium,"AA Program"
73,Service,"What is the General Service Office (GSO)?","The central office of AA in New York City that serves AA groups worldwide",easy,"AA Service"
74,Service,"What is the General Service Conference?","Annual meeting of delegates from US and Canada — the group conscience of AA as a whole",medium,"AA Service"
75,Service,"When was the first General Service Conference?","April 1951 in New York City",hard,"AA Service"
76,Service,"What is the AA Grapevine?","AA's international journal, 'our meeting in print,' first published June 1944",medium,"AA Literature"
77,Service,"What does GSR stand for?","General Service Representative — the link between the group and AA as a whole",easy,"AA Service"
78,Service,"What does DCM stand for?","District Committee Member — the link between groups and the Area",medium,"AA Service"
79,Service,"What is a Delegate?","An elected representative who attends the General Service Conference on behalf of their Area",medium,"AA Service"
80,Service,"What is the AA Service Manual?","The guide to AA's service structure, combined with Twelve Concepts for World Service",medium,"AA Service"
81,Service,"What are the Twelve Concepts for World Service?","Guidelines written by Bill W. in 1962 describing how AA's world services should function",hard,"AA Service"
82,Milestones,"When was the first International Convention?","1950 in Cleveland, Ohio",medium,"AA History"
83,Milestones,"When did Bill W. pass away?","January 24, 1971, in Miami Beach, Florida",medium,"AA History"
84,Milestones,"When did Dr. Bob pass away?","November 16, 1950, in Akron, Ohio",medium,"AA History"
85,Milestones,"When was Al-Anon founded?","1951, by Lois Wilson and Anne Bingham",medium,"AA History"
86,Milestones,"When was the Grapevine first published?","June 1944",medium,"AA Literature"
87,Milestones,"When did AA membership reach 100,000?","By the early 1950s",medium,"AA History"
88,Milestones,"Where are International Conventions held?","Every five years in cities across North America, in years ending in 0 and 5",medium,"AA History"
89,Milestones,"What happened in 1953?","'Twelve Steps and Twelve Traditions' was published",medium,"AA Literature"
90,Literature,"What is 'Twelve Steps and Twelve Traditions'?","Published 1953, an in-depth look at the Steps and Traditions by Bill W.",medium,"AA Literature"
91,Literature,"What is 'As Bill Sees It'?","A collection of Bill W.'s writings from AA literature, Grapevine articles, and letters (1967)",medium,"AA Literature"
92,Literature,"What is 'Dr. Bob and the Good Oldtimers'?","A biography of Dr. Bob and early AA in Akron, published 1980",medium,"AA Literature"
93,Literature,"What is 'Pass It On'?","The biography of Bill W. and the founding of AA, published 1984",medium,"AA Literature"
94,Literature,"What is 'Living Sober'?","A practical 1975 book with methods AA members have used to stay sober",easy,"AA Literature"
95,Literature,"What is 'Came to Believe'?","A 1973 collection of stories about the spiritual experiences of AA members",medium,"AA Literature"
96,Literature,"What is 'AA Comes of Age'?","Published 1957, Bill W.'s history of AA's first 20 years and how the fellowship matured",hard,"AA Literature"
97,Literature,"What is the 'Daily Reflections' book?","A book of daily meditations written by AA members, published in 1990",easy,"AA Literature"
98,Literature,"What pamphlet is given to newcomers?","'Is AA For You?' or 'A Newcomer Asks' are commonly shared",easy,"AA Literature"
99,Literature,"What is 'Experience, Strength and Hope'?","A 2003 collection of stories from all four editions of the Big Book",medium,"AA Literature"
100,Archives,"What is the purpose of AA Archives?","To collect, preserve, and share AA history for present and future generations",easy,"AA Archives"
101,Archives,"Where is the GSO Archives located?","At the General Service Office in New York City",easy,"AA Archives"
102,Archives,"What do AA Archives collect?","Oral histories, photographs, documents, correspondence, publications, recordings, and memorabilia",medium,"AA Archives"
103,Archives,"Why is preserving AA history important?","It helps members understand where AA came from and carries the experience of early members forward",easy,"AA Archives"
104,Archives,"What is an Area Archives Committee?","A service committee that collects and preserves AA history within a specific geographic area",medium,"AA Archives"
105,Archives,"How can members contribute to Archives?","Donate materials, record oral histories, volunteer with committees, share local AA history",easy,"AA Archives"
106,Archives,"What was the first AA archives?","The archives at the General Service Office in New York",hard,"AA Archives"
107,Archives,"What is an oral history?","A recorded interview with an AA member sharing their memories and experiences of AA history",easy,"AA Archives"
108,Archives,"What is a group history?","A written record of when a group started, where it has met, and key events in its existence",easy,"AA Archives"
109,Archives,"Why do Archives displays at AA events matter?","They attract interest, educate members, and inspire service — bringing AA history to life",easy,"AA Archives"
110,Archives,"What should you do if you find old AA materials?","Contact your local Archives Committee — old documents, photos, and recordings may be historically valuable",easy,"AA Archives"
111,Fun Facts,"What did Bill W. and Dr. Bob have in common besides alcoholism?","Both were born in Vermont",easy,"AA History"
112,Fun Facts,"How many first-edition Big Books are believed to exist?","Fewer than 100 of the original 4,585 copies are known to survive",hard,"AA History"
113,Fun Facts,"What is a first-edition Big Book worth today?","Rare copies have sold for over $50,000 at auction",hard,"AA History"
114,Fun Facts,"What color was the original Big Book cover?","Yellow — it was later changed to blue",medium,"AA History"
115,Fun Facts,"What was unique about the Big Book's dust jacket?","The first edition had a red, yellow, and blue circus-style dust jacket",hard,"AA History"
116,Fun Facts,"How old was Dr. Bob when he got sober?","55 years old",medium,"AA History"
117,Fun Facts,"How old was Bill W. when he got sober?","39 years old",medium,"AA History"
118,Fun Facts,"What does the AA circle-triangle symbol represent?","The circle represents the whole world of AA; the triangle represents the three legacies: Recovery, Unity, and Service",medium,"AA History"
119,Fun Facts,"What was the first AA-related movie?","'My Name Is Bill W.' (1989 TV movie) starring James Woods and James Garner",hard,"AA History"
120,Fun Facts,"What famous quote is on page 164 of the Big Book?","'We shall be with you in the Fellowship of the Spirit, and you will surely meet some of us as you trudge the Road of Happy Destiny'",medium,"AA Literature"
121,History,"Who was Rowland Hazard and why is he significant?","A Rhode Island industrialist treated by Carl Jung in 1931. Jung said only a 'vital spiritual experience' could save him — this insight eventually led to AA's founding",hard,"AA History"
122,History,"What was Carl Jung's connection to AA?","Jung told patient Rowland Hazard that only a spiritual experience could cure alcoholism. This insight passed through a chain: Hazard → Oxford Group → Ebby → Bill W. → AA",hard,"AA History"
123,History,"What was Ruth Hock's role in AA?","She was AA's first secretary starting in 1936. She typed the Big Book manuscript and handled correspondence from alcoholics seeking help",hard,"AA History"
124,History,"Where was the first AA clubhouse?","334½ West 24th Street in New York City, opened in 1940. The first meeting drew 100 people",hard,"AA History"
125,History,"When was the first AA group formed in prison?","1942 at San Quentin Prison in California",hard,"AA History"
126,Fun Facts,"How much did the first AA Grapevine issue cost to produce?","$187.10 total for design and printing in June 1944",hard,"AA Literature"
127,Fun Facts,"Who created the AA Grapevine?","Six New York AA women launched it in June 1944 with 1,200 copies and 165 subscribers",hard,"AA Literature"
128,Fun Facts,"What honor did the Library of Congress give the Big Book?","Named it one of 88 Books That Shaped America",medium,"AA Literature"
129,Fun Facts,"What famous magazine recognized the Big Book?","Time Magazine named it among the 100 best English-language books since 1923",medium,"AA Literature"
130,History,"Where did Bill W. and Dr. Bob actually first meet?","At Henrietta Seiferling's Gate Lodge on the Stan Hywet estate in Akron, Ohio",hard,"AA History"
131,History,"What is Founders' Day?","An annual celebration near June 10th honoring the founding of AA. The largest is held in Akron, Ohio",easy,"AA History"
132,Founders,"Who was Henrietta Seiferling?","A Vassar graduate and Oxford Group member who introduced Bill W. to Dr. Bob — the most important introduction in AA history",hard,"AA History"
133,Fun Facts,"What did Sister Ignatia tell patients about their sobriety medallions?","'If you want to drink, bring the medallion back first'",medium,"AA History"
134,History,"What was the first AA group outside the United States?","A group formed in London, England in 1947",medium,"AA History"
135,Fun Facts,"How many people attended Sister Ignatia's funeral?","Approximately 3,000 people, including Bill W.",hard,"AA History"
136,History,"What was the Alcoholic Foundation?","Established in 1938 to provide organizational structure for AA, with both alcoholic and non-alcoholic trustees",hard,"AA Service"
137,Fun Facts,"What is the 'chain of recovery' in AA history?","Carl Jung → Rowland Hazard → Ebby Thacher → Bill Wilson → Dr. Bob Smith → AA Fellowship. Break any link and AA doesn't exist",hard,"AA History"
138,History,"What did Dr. Silkworth advise Bill W. about his approach?","To 'calm the religious approach down' and 'start by giving the medical facts first'",hard,"AA History"
139,History,"When were the Twelve Concepts for World Service written?","1962 by Bill Wilson — they describe how AA's world services should function",hard,"AA Service"
140,Fun Facts,"What year did AA receive recognition from the American Public Health Association?","1951 — the Lasker Award for outstanding contribution to therapy of alcoholism",medium,"AA History"
